Key,Name,Address Line 1,City,State,Zip,latitude,longitude,Address Validity,BI Qualification,BI Plan,BI Service Level,BI Availability,BI Reason,4G LTE,L600,L700,L1900,L2100,L2500,Covlall,5G,NR600,NR1900,NR2500,Roaming Only,Roaming,NearestSite,Tower Distance,DistToSite_Mi,DirectionDegrees,Technician Tablets,Fixed Wireless,Trucks,Hexbins,Sample Count,Avg Ookla Download (Mbps),Min Ookla Download (Mbps),Max Ookla Download (Mbps),Avg Ookla Upload (Mbps),Min Ookla Upload (Mbps),Max Ookla Upload (Mbps),Avg Ookla Latency (ms),Min Ookla Latency (ms),Max Ookla Latency (ms),Hexbins - VZ,Sample Count - VZ,Avg Ookla Download (Mbps) - VZ,Min Ookla Download (Mbps) - VZ,Max Ookla Download (Mbps) - VZ,Avg Ookla Upload (Mbps) - VZ,Min Ookla Upload (Mbps) - VZ,Max Ookla Upload (Mbps) - VZ,Avg Ookla Latency (ms) - VZ,Min Ookla Latency (ms) - VZ,Max Ookla Latency (ms) - VZ,Hexbins - AT&T,Sample Count - AT&T,Avg Ookla Download (Mbps) - AT&T,Min Ookla Download (Mbps) - AT&T,Max Ookla Download (Mbps) - AT&T,Avg Ookla Upload (Mbps) - AT&T,Min Ookla Upload (Mbps) - AT&T,Max Ookla Upload (Mbps) - AT&T,Avg Ookla Latency (ms) - AT&T,Min Ookla Latency (ms) - AT&T,Max Ookla Latency (ms) - AT&T
233,CABALD01,13940 Live Oak Ave,Baldwin Park,CA,91706,34.105983,-117.970535,,Eligible,Unlimited Plan-productivity Filter Off Or On (see C2),Good,Medium,--,In-Building Commercial,In-Building Commercial,In-Building Residential,In-Vehicle,In-Vehicle,,In-Building Commercial,In-Building Commercial,In-Building Commercial,In-Building Commercial,In-Building Commercial,,No,IE04309A,< 0.25 Mile,0.2,91,Yes,Yes,Yes,RU03018688,1369,443.8,9.2,1475.6,51.3,1.5,126.7,22,9,121,RU03018688,690,60.1,0.9,528.8,2.6,0.0,26.7,37,14,535,RU03018688,94,112.5,31.7,180.7,12.5,1.1,42.4,25,18,36
1240,CAPARA02,920 American Way,Paradise,CA,95969,39.736246,-121.610744,,Eligible,Unlimited Plan-productivity Filter Off Or On (see C2),Good,High,--,In-Building Commercial,In-Building Commercial,In-Building Commercial,In-Building Commercial,In-Building Commercial,,In-Building Commercial,In-Building Commercial,In-Building Commercial,In-Building Commercial,In-Building Commercial,,Yes,SC06879A,< 0.25 Mile,0.2,244,Yes,Yes,Yes,,,,,,,,,,,,RU40205124,1,7.8,7.8,7.8,0.1,0.1,0.1,38,38,38,Nearby,9,181.3,111.5,235.6,72.9,35.9,100.3,22,17,29
356,TXSANA05,1777 NE Loop 410,San Antonio,TX,78217,29.518161,-98.436748,,Eligible,Unlimited Plan-productivity Filter Off Or On (see C2),Good,Medium,--,In-Building Commercial,,In-Building Commercial,In-Building Commercial,In-Building Commercial,,In-Building Commercial,In-Building Commercial,In-Building Commercial,In-Building Commercial,In-Building Commercial,,No,SA01252F,< 0.25 Mile,0.2,159,Yes,Yes,Yes,Nearby,27,509.9,42.2,1389.5,36.7,0.0,113.5,21,8,50,Nearby,23,360.3,0.0,1122.1,24.3,0.0,85.0,28,15,65,PC32503844,14,356.5,54.2,561.4,49.2,27.4,76.7,30,25,49
412,MISAGI03,1957 Findley St,Saginaw,MI,48601,43.455793,-83.906768,,Eligible,Unlimited Plan-productivity Filter Off Or On (see C2),Good,High,--,In-Building Commercial,Outdoor,In-Building Commercial,In-Building Commercial,In-Building Commercial,,In-Building Commercial,In-Building Commercial,In-Building Commercial,In-Building Commercial,In-Building Commercial,,No,BS03912M,< 0.25 Mile,0.2,115,Yes,Yes,Yes,Nearby,7,516.3,145.5,886.8,19.3,4.3,42.9,29,14,46,Nearby,3,15.1,7.8,27.4,11.4,0.7,25.6,27,21,34,Nearby,3,140.0,117.7,177.6,10.7,6.7,17.1,40,39,42
278,CAAZUS04,1501 West Gladstone St,Azusa,CA,91702,34.114877,-117.93183,,Eligible,Unlimited Plan-productivity Filter Off Or On (see C2),Good,Medium,--,In-Building Commercial,In-Building Commercial,In-Building Commercial,In-Building Commercial,In-Building Commercial,,In-Building Commercial,In-Building Commercial,In-Building Commercial,In-Building Commercial,In-Building Commercial,,No,IE04928A,< 0.25 Mile,0.2,263,Yes,Yes,Yes,RU03042312,8,603.9,392.3,707.5,86.5,52.6,135.9,17,12,24,RU03042312,11,109.6,2.9,328.5,18.0,1.6,44.8,33,20,56,Nearby,22,405.9,8.4,758.6,31.9,0.0,147.4,48,18,419
268,NJVINE01,1490 Southwest Blvd,Vineland,NJ,8360,39.4887,-75.0194,,Eligible,Unlimited Plan-productivity Filter Off Or On (see C2),Good,Medium,--,In-Building Commercial,In-Building Commercial,In-Building Commercial,In-Building Commercial,In-Building Commercial,,In-Building Commercial,In-Building Commercial,In-Building Commercial,In-Building Commercial,In-Building Commercial,,No,1CU9528E,< 0.25 Mile,0.2,284,Yes,Yes,Yes,PF35314615,2,811.0,750.6,871.5,57.6,26.9,88.3,18,17,18,Nearby,20,436.4,3.5,1050.2,20.0,0.8,49.7,25,17,36,Nearby,5,106.7,2.6,246.0,1.0,0.2,2.5,86,28,230
737,FLTAMP09,3400 N. 40th,Tampa,FL,33605,27.975232,-82.415169,,Eligible,Unlimited Plan-productivity Filter Off Or On (see C2),Good,High,--,In-Building Commercial,In-Building Commercial,In-Building Commercial,In-Building Commercial,In-Building Commercial,,In-Building Commercial,In-Building Commercial,In-Building Commercial,In-Building Commercial,In-Building Commercial,,No,A2G1018A,< 0.25 Mile,0.2,292,Yes,Yes,Yes,Nearby,29,697.0,0.0,1472.7,41.8,0.0,108.7,18,7,79,PB81167588,2,297.1,206.1,388.1,10.7,4.4,17.0,28,23,33,PB81167588,2,315.3,86.4,544.3,8.1,7.2,8.9,21,15,26
175,GANORC01,1243 Beaver Ruin Rd,Norcross,GA,30093,33.925637,-84.139811,,Eligible,Unlimited Plan-productivity Filter Off Or On (see C2),Good,Medium,--,In-Building Commercial,,In-Building Commercial,In-Building Commercial,In-Building Commercial,,In-Building Commercial,In-Building Commercial,In-Building Commercial,In-Building Commercial,In-Building Residential,,No,9AT0150A,< 0.25 Mile,0.2,134,Yes,Yes,Yes,PC67477147,1,675.1,675.1,675.1,95.8,95.8,95.8,23,23,23,Nearby,251,231.2,0.3,2479.9,19.8,0.0,200.1,41,8,1489,PC67477147,1,85.6,85.6,85.6,31.0,31.0,31.0,15,15,15
309,FLTAMP11,1601 N 34th St,Tampa,FL,33605,27.958772,-82.421663,,Eligible,Unlimited Plan-productivity Filter Off Or On (see C2),Good,Medium,--,In-Building Commercial,In-Building Commercial,In-Building Commercial,In-Building Commercial,In-Building Commercial,,In-Building Commercial,In-Building Commercial,In-Building Commercial,In-Building Commercial,In-Building Commercial,,No,A2G3002A,< 0.25 Mile,0.2,288,Yes,Yes,Yes,PB81167514,2,481.3,398.5,564.0,30.9,26.2,35.6,22,18,25,Nearby,702,193.4,0.0,2346.9,17.6,0.0,367.2,36,8,448,Nearby,66,196.4,0.1,2048.7,13.8,0.0,90.6,31,11,90
801,FLFORT04,3890 Selvitz Rd,Fort Pierce,FL,34981,27.395059,-80.366031,,Eligible,Unlimited Plan-productivity Filter Off Or On (see C2),Good,Medium,--,In-Building Commercial,,In-Building Commercial,In-Building Commercial,In-Building Commercial,,In-Building Commercial,In-Building Commercial,In-Building Commercial,In-Building Commercial,In-Building Commercial,,No,A2P0083D,< 0.25 Mile,0.2,81,Yes,Yes,Yes,Nearby,4,165.6,64.3,265.3,2.7,0.9,5.4,163,29,555,Nearby,2,446.9,281.3,612.4,7.5,6.7,8.4,28,22,33,Nearby,4,794.7,684.5,932.1,20.5,14.4,34.2,22,20,24
37,ALHUNT01,101 Spacegate Drive,Huntsville,AL,35806,34.783611,-86.663281,,Eligible,Unlimited Plan-productivity Filter Off Or On (see C2),Good,High,--,In-Building Commercial,,In-Building Commercial,In-Building Commercial,In-Building Commercial,,In-Building Commercial,In-Building Commercial,In-Building Commercial,In-Building Commercial,In-Building Commercial,,No,9BH3106S,< 0.25 Mile,0.2,299,Yes,Yes,Yes,Nearby,5,888.6,769.2,1029.2,31.2,13.0,62.4,43,27,72,PC68440843,1,132.0,132.0,132.0,20.7,20.7,20.7,49,49,49,Nearby,5,591.2,19.9,910.4,63.2,20.5,118.3,43,32,51
